generation	repeats	mean	best	mutation rate
488	403	6,792	20,352	0,10000
489	402	6,720	19,744	0,10000
490	402	6,694	20,349	0,10000
491	402	6,679	20,632	0,10000
492	401	6,705	21,160	0,10000
493	402	6,734	18,547	0,10000
494	401	6,775	19,618	0,10000
495	403	6,789	20,102	0,10000
496	400	6,752	19,907	0,10000
497	401	6,742	20,861	0,10000
498	403	6,749	21,800	0,10000
499	402	6,698	21,208	0,10000
500	405	6,700	18,263	0,10000
501	400	6,682	20,826	0,10000
502	402	6,694	20,074	0,10000
503	401	6,708	19,406	0,10000
504	404	6,744	18,570	0,10000
505	401	6,801	19,046	0,10000
506	402	6,787	17,765	0,10000
507	401	6,756	23,022	0,10000
508	402	6,778	19,160	0,10000
509	401	6,760	20,392	0,10000
510	402	6,718	19,081	0,10000
511	402	6,711	17,656	0,10000
512	401	6,730	20,373	0,10000
513	401	6,779	20,680	0,10000
514	403	6,796	18,360	0,10000
515	403	6,816	17,971	0,10000
516	401	6,815	17,941	0,10000
517	404	6,806	18,550	0,10000
518	401	6,791	18,471	0,10000
519	403	6,787	18,140	0,10000
520	400	6,721	20,072	0,10000
521	401	6,732	18,934	0,10000
522	404	6,679	17,866	0,10000
523	401	6,704	20,883	0,10000
524	401	6,681	18,689	0,10000
525	400	6,662	18,605	0,10000
526	401	6,637	18,673	0,10000
527	401	6,628	17,588	0,10000
528	403	6,656	17,863	0,10000
529	402	6,657	18,200	0,10000
530	403	6,679	17,656	0,10000
531	400	6,736	22,565	0,10000
532	403	6,717	17,454	0,10000
533	401	6,688	18,605	0,10000
534	402	6,629	19,121	0,10000
535	404	6,576	18,184	0,10000
536	400	6,671	17,864	0,10000
537	401	6,646	16,455	0,10000
538	402	6,681	16,419	0,10000
539	401	6,657	18,578	0,10000
540	400	6,670	18,392	0,10000
541	403	6,674	18,154	0,10000
542	404	6,727	20,842	0,10000
543	403	6,685	19,863	0,10000
544	401	6,648	19,462	0,10000
545	401	6,636	18,158	0,10000
546	404	6,596	18,644	0,10000
547	403	6,640	19,972	0,10000
548	403	6,672	19,537	0,10000
549	402	6,658	20,104	0,10000
550	403	6,683	18,748	0,10000
551	400	6,676	19,562	0,10000
552	401	6,728	19,675	0,10000
553	402	6,733	22,548	0,10000
554	401	6,729	19,390	0,10000
555	403	6,666	18,627	0,10000
556	402	6,677	17,426	0,10000
557	404	6,717	19,657	0,10000
558	401	6,728	16,889	0,10000
559	403	6,675	19,466	0,10000
560	403	6,675	17,875	0,10000
561	401	6,691	20,268	0,10000
562	402	6,674	21,254	0,10000
563	404	6,636	20,831	0,10000
564	401	6,656	17,172	0,10000
565	401	6,654	17,294	0,10000
566	402	6,703	20,109	0,10000
567	400	6,730	18,670	0,10000
568	403	6,671	18,739	0,10000
569	401	6,677	19,561	0,10000
570	402	6,664	21,656	0,10000
571	402	6,643	17,438	0,10000
572	402	6,628	19,332	0,10000
573	402	6,655	20,493	0,10000
574	402	6,641	20,478	0,10000
575	401	6,645	20,375	0,10000
576	401	6,658	19,913	0,10000
577	403	6,669	20,043	0,10000
578	404	6,705	19,580	0,10000
579	401	6,703	18,941	0,10000
580	401	6,751	20,975	0,10000
581	401	6,732	19,006	0,10000
582	400	6,712	21,183	0,10000
